VariableName,Attribute,Use in Analysis
V00HEMAT1,"EV:Phlebotomy: traumatic venipuncture, hematoma (first draw) (calc)",0.0
V00HEMAT2,"EV:Phlebotomy: traumatic venipuncture, hematoma (repeat draw) (calc)",0.0
V00VEIN1,"EV:Phlebotomy: traumatic venipuncture, vein hard to get (first draw) (calc)",0.0
V00VEIN2,"EV:Phlebotomy: traumatic venipuncture, vein hard to get (repeat draw) (calc)",0.0
V00MULTST1,"EV:Phlebotomy: traumatic venipuncture, multiple sticks (first draw) (calc)",0.0
V00MULTST2,"EV:Phlebotomy: traumatic venipuncture, multiple sticks (repeat draw) (calc)",0.0
V00EXCESS1,"EV:Phlebotomy: traumatic venipuncture, excessive duration of draw (first draw) (calc)",0.0
V00EXCESS2,"EV:Phlebotomy: traumatic venipuncture, excessive duration of draw (repeat draw) (calc)",0.0
V00LEAKAG1,"EV:Phlebotomy: traumatic venipuncture, leakage at venipuncture site (first draw) (calc)",0.0
V00LEAKAG2,"EV:Phlebotomy: traumatic venipuncture, leakage at venipuncture site (repeat draw) (calc)",0.0
V00OTHVP1,"EV:Phlebotomy: traumatic venipuncture, other (first draw) (calc)",0.0
V00OTHVP2,"EV:Phlebotomy: traumatic venipuncture, other (repeat draw) (calc)",0.0
V00BLDRAW1,EV:Phlebotomy: any blood drawn (first draw) (calc),0.0
V00BLDRAW2,EV:Phlebotomy: any blood drawn (repeat draw) (calc),0.0
V00HRSUC1,EV:Urine collection: hours since ate food before collection (first collection) (calc),0.0
V00HRSUC2,EV:Urine collection: hours since ate food before collection (repeat collection) (calc),0.0
P01SVXRRID,SV:Baseline knee x-ray: clinical center reader ID # (calc),0.0
P01SVXRRKR,SV:Right knee baseline x-ray: evidence of knee replacement  (calc),1.0
P01SVXRLKR,SV:Left knee baseline x-ray: evidence of knee replacement (calc),1.0
P01SVRKOST,SV:Right knee baseline x-ray: evidence of knee osteophytes (calc),1.0
P01SVLKOST,SV:Left knee baseline x-ray: evidence of knee osteophytes (calc),1.0
P01SVRKJSM,SV:Right knee baseline x-ray: evidence of knee medial joint space narrowing (calc),1.0
P01SVLKJSM,SV:Left knee baseline x-ray: evidence of knee medial joint space narrowing (calc),1.0
P01SVRKJSL,SV:Right knee baseline x-ray: evidence of knee lateral joint space narrowing (calc),1.0
P01SVLKJSL,SV:Left knee baseline x-ray: evidence of knee lateral joint space narrowing (calc),1.0
P01SVRKMI,SV:Right knee baseline x-ray: evidence of knee metal artifacts (calc),1.0
P01SVLKMI,SV:Left knee baseline x-ray: evidence of knee metal artifacts (calc),1.0
P01SVXRELK,SV:Baseline knee x-ray: knee(s) eligible for MRI based on x-ray (calc),0.0
P01XRKOA,SV:Baseline radiographic knee OA status by person (calc),0.0
P01RXRKOA2,SV:Right knee baseline x-ray: osteophytes and JSN (calc),1.0
P01LXRKOA2,SV:Left knee baseline x-ray: osteophytes and JSN (calc),1.0
V00XRBCODE,SV:Paired x-ray reading: barcode of P01 x-ray (Image Sample B),1.0
V00XROSFLR,SV:Right knee paired x-ray reading: osteophytes (OARSI grades 0-3) femur lateral compartment (Image Sample B),1.0
V00XRSCFLR,SV:Right knee paired x-ray reading: sclerosis (OARSI grades 0-3) femur lateral compartment (Image Sample B),1.0
V00XRCYFLR,SV:Right knee paired x-ray reading: cysts (Grades 0-1) femur lateral compartment (Image Sample B),1.0
V00XRJSLR,SV:Right knee paired x-ray reading: joint space narrowing (OARSI grades 0-3) lateral compartment (Image Sample B),1.0
V00XRCHLR,SV:Right knee paired x-ray reading: chondrocalcinosis (Grades 0-1) lateral compartment (Image Sample B),1.0
V00XROSTLR,SV:Right knee paired x-ray reading: osteophytes (OARSI grades 0-3) tibia lateral compartment (Image Sample B),1.0
V00XRSCTLR,SV:Right knee paired x-ray reading: sclerosis (OARSI grades 0-3) tibia lateral compartment (Image Sample B),1.0
V00XRCYTLR,SV:Right knee paired x-ray reading: cysts (Grades 0-1) tibia lateral compartment (Image Sample B),1.0
V00XRATTLR,SV:Right knee paired x-ray reading: attrition (OARSI grades 0-3) tibia lateral compartment (Image Sample B),1.0
V00XROSFMR,SV:Right knee paired x-ray reading: osteophytes (OARSI grades 0-3) femur medial compartment (Image Sample B),1.0
V00XRSCFMR,SV:Right knee paired x-ray reading: sclerosis (OARSI grades 0-3) femur medial compartment (Image Sample B),1.0
V00XRCYFMR,SV:Right knee paired x-ray reading: cysts (Grades 0-1) femur medial compartment (Image Sample B),1.0
V00XRJSMR,SV:Right knee paired x-ray reading: joint space narrowing (OARSI grades 0-3) medial compartment (Image Sample B),1.0
V00XRCHMR,SV:Right knee paired x-ray reading: chondrocalcinosis (Grades 0-1) medial compartment (Image Sample B),1.0
V00XROSTMR,SV:Right knee paired x-ray reading: osteophytes (OARSI grades 0-3) tibia medial compartment (Image Sample B),1.0
V00XRSCTMR,SV:Right knee paired x-ray reading: sclerosis (OARSI grades 0-3) tibia medial compartment (Image Sample B),1.0
V00XRCYTMR,SV:Right knee paired x-ray reading: cysts (Grades 0-1) tibia medial compartment (Image Sample B),1.0
V00XRATTMR,SV:Right knee paired x-ray reading: attrition (OARSI grades 0-3) tibia medial compartment (Image Sample B),1.0
V00XRKLR,SV:Right knee paired x-ray reading: Kellgren and Lawrence (Grades 0-4) (Image Sample B),1.0
V00XROSFML,SV:Left knee paired x-ray reading: osteophytes (OARSI grades 0-3) femur medial compartment (Image Sample B),1.0
V00XRSCFML,SV:Left knee paired x-ray reading: sclerosis (OARSI grades 0-3) femur medial compartment (Image Sample B),1.0
V00XRCYFML,SV:Left knee paired x-ray reading: cysts (Grades 0-1) femur medial compartment (Image Sample B),1.0
V00XRJSML,SV:Left knee paired x-ray reading: joint space narrowing (OARSI grades 0-3) medial compartment (Image Sample B),1.0
V00XRCHML,SV:Left knee paired x-ray reading: chondrocalcinosis (Grades 0-1) medial compartment (Image Sample B),1.0
V00XROSTML,SV:Left knee paired x-ray reading: osteophytes (OARSI grades 0-3) tibia medial compartment (Image Sample B),1.0
V00XRSCTML,SV:Left knee paired x-ray reading: sclerosis (OARSI grades 0-3) tibia medial compartment (Image Sample B),1.0
V00XRCYTML,SV:Left knee paired x-ray reading: cysts (Grades 0-1) tibia medial compartment (Image Sample B),1.0
V00XRATTML,SV:Left knee paired x-ray reading: attrition (OARSI grades 0-3) tibia medial compartment (Image Sample B),1.0
V00XRKLL,SV:Left knee paired x-ray reading: Kellgren and Lawrence (Grades 0-4) (Image Sample B),1.0
V00XROSFLL,SV:Left knee paired x-ray reading: osteophytes (OARSI grades 0-3) femur lateral compartment (Image Sample B),1.0
V00XRSCFLL,SV:Left knee paired x-ray reading: sclerosis (OARSI grades 0-3) femur lateral compartment (Image Sample B),1.0
V00XRCYFLL,SV:Left knee paired x-ray reading: cysts (Grades 0-1) femur lateral compartment (Image Sample B),1.0
V00XRJSLL,SV:Left knee paired x-ray reading: joint space narrowing (OARSI grades 0-3) lateral compartment (Image Sample B),1.0
V00XRCHLL,SV:Left knee paired x-ray reading: chondrocalcinosis (Grades 0-1) lateral compartment (Image Sample B),1.0
V00XROSTLL,SV:Left knee paired x-ray reading: osteophytes (OARSI grades 0-3) tibia lateral compartment (Image Sample B),1.0
V00XRSCTLL,SV:Left knee paired x-ray reading: sclerosis (OARSI grades 0-3) tibia lateral compartment (Image Sample B),1.0
V00XRCYTLL,SV:Left knee paired x-ray reading: cysts (Grades 0-1) tibia lateral compartment (Image Sample B),1.0
V00XRATTLL,SV:Left knee paired x-ray reading: attrition (OARSI grades 0-3) tibia lateral compartment (Image Sample B),1.0
P01OAGRDR,SV:Right knee baseline x-ray: composite OA grade (quasi KL grade) (calc),1.0
V00BLDCOLL,EV:Phlebotomy: which draw(s) blood obtained at (calc),0.0
V00UCDATE2,EV:Urine collection: date of sample collection (repeat collection) (calc),0.0
V00URNCOLL,EV:Urine collection: which sample collection(s) specimen obtained at (calc),0.0
V00PDATE2,EV:Phlebotomy: date of blood draw (repeat draw) (calc),0.0
V00PDATE1,EV:Phlebotomy: date of blood draw (first draw) (calc),0.0
V00UCDATE1,EV:Urine collection: date of sample collection (first collection) (calc),0.0
P01OAGRDL,SV:Left knee baseline x-ray: composite OA grade (quasi KL grade) (calc),1.0
V00BLSURD2,EV:Phlebotomy: days between most recent surgery and blood draw (repeat draw) (calc),0.0
V00URSURD2,EV:Urine collection: days between most recent surgery and collection (repeat collection) (calc),0.0
V00BLSURD1,EV:Phlebotomy: days between most recent surgery and blood draw (first draw) (calc),0.0
V00URSURD1,EV:Urine collection: days between most recent surgery and collection (first collection) (calc),0.0
V00MRSEQNR,"EV MRI:Right knee, number of unique OAI standard MRI sequences obtained (calc)",0.0
V00MRSEQNL,"EV MRI:Left knee, number of unique OAI standard MRI sequences obtained (calc)",0.0
V00SERUM,EV:Phlebotomy: which draw(s) serum obtained at (calc),0.0
V00EDTA,EV:Phlebotomy: which draw(s) EDTA obtained at (calc),0.0
V00CITRATE,EV:Phlebotomy: which draw(s) citrate obtained at (calc),0.0
P02KPN,"IEI:Q9.Either knee pain, aching or stiffness: any, past 12 months (used for study eligibility)",1.0
P01KPNREV,"SV:Q14.Right knee pain, aching or stiffness: ever had more than half the days of a month",1.0
P01KPNREVY,"SV:Q14a.Right knee pain, aching or stiffness: started about how many years ago",1.0
P01KPNR12,"SV:Q15.Right knee pain, aching or stiffness: any, past 12 months",1.0
P01KPNR12M,"SV:Q15ai.Right knee pain, aching or stiffness: how many months on more than half the days of a month, past 12 months",1.0
P01KPNLEV,"SV:Q17.Left knee pain, aching or stiffness: ever had more than half the days of a month",1.0
P01KPNLEVY,"SV:Q17a.Left knee pain, aching or stiffness: started about how many years ago",1.0
P01KPNL12,"SV:Q18.Left knee pain, aching or stiffness: any, past 12 months",1.0
P01KPNL12M,"SV:Q18ai.Left knee pain, aching or stiffness: how many months on more than half the days of a month, past 12 months",1.0
P01KPACT30,"SV:Q20.Either knee, limit activities due to pain, aching or stiffness, past 30 days",1.0
P01HPNR12,"SV:Q38.Right hip pain, aching or stiffness: any, past 12 months (includes pain in groin and in front and sides of upper thigh)",1.0
P01HPNRIL,"SV:Q38ai.Right hip pain, aching or stiffness location: groin/inside leg near hip",1.0
P01HPNROL,"SV:Q38ai.Right hip pain, aching or stiffness location: outside of leg near hip",1.0
P01HPNRFL,"SV:Q38ai.Right hip pain, aching or stiffness location: front of leg near hip",1.0
P01HPNRB,"SV:Q38ai.Right hip pain, aching or stiffness location: buttocks",1.0
P01HPNRLB,"SV:Q38ai.Right hip pain, aching or stiffness location: lower back",1.0
P01HPNRDK,"SV:Q38ai.Right hip pain, aching or stiffness location: don't know",1.0
P01HPNL12,"SV:Q39.Left hip pain, aching or stiffness: any, past 12 months (includes pain in groin and in front and sides of upper thigh)",1.0
P01HPNLIL,"SV:Q39ai.Left hip pain, aching or stiffness location: groin/inside leg near hip",1.0
P01HPNLOL,"SV:Q39ai.Left hip pain, aching or stiffness location: outside of leg near hip",1.0
P01HPNLFL,"SV:Q39ai.Left hip pain, aching or stiffness location: front of leg near hip",1.0
P01HPNLB,"SV:Q39ai.Left hip pain, aching or stiffness location: buttocks",1.0
P01HPNLLB,"SV:Q39ai.Left hip pain, aching or stiffness location: lower back",1.0
P01HPNLDK,"SV:Q39ai.Left hip pain, aching or stiffness location: don't know",1.0
P01BP30,"SV:Q43.Any back pain, past 30 days",1.0
P01BP30OFT,"SV:Q43a.How often bothered by back pain, past 30 days",1.0
P01BPBAD,"SV:Q43b.When had back pain how bad was it on average, past 30 days",1.0
P01BPUB,"SV:Q43c.Back pain location, upper back",1.0
P01BPMB,"SV:Q43c.Back pain location, middle back",1.0
P01BPLB,"SV:Q43c.Back pain location, lower back",1.0
P01BPB,"SV:Q43c.Back pain location, buttocks",1.0
P01BPDK,"SV:Q43c.Back pain location, don't know",1.0
P01OJPNRS,"SV:Q44.Right shoulder pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNLS,"SV:Q44.Left shoulder pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNRE,"SV:Q44.Right elbow pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNLE,"SV:Q44.Left elbow pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNRW,"SV:Q44.Right wrist pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNLW,"SV:Q44.Left wrist pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNRH,"SV:Q44.Right hand/finger pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNLH,"SV:Q44.Left hand/finger pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNRA,"SV:Q44.Right ankle pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNLA,"SV:Q44.Left ankle pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNRF,"SV:Q44.Right foot pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNLF,"SV:Q44.Left foot pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNNK,"SV:Q44.Neck pain, aching or stiffness: more than half the days, past 30 days",1.0
P01OJPNNO,"SV:Q44.Other joints pain, aching or stiffness: more than half the days, past 30 days, no, don't know, refused",1.0
P01TMJE6M,"SV:Q45.TMJ: jaw joint or in front of ear, experienced pain or aching, past 6 months",1.0
P01TMJEPN1,"SV:Q45a.TMJ: jaw joint or in front of ear, first have pain or aching more than 6 months ago",1.0
P01TMJE30D,"SV:Q45bi.TMJ: jaw joint or in front of ear, how many days had pain or aching, past 30 days",1.0
P01TMJE30A,"SV:Q45biii.TMJ: jaw joint or in front of ear, how many days pain or aching keep from doing usual activities (e.g., work, school...), past 30 days",1.0
P01TMJF6M,"SV:Q46.TMJ: across face or cheek, experienced pain or aching, past 6 months",1.0
P01TMJFPN1,"SV:Q46a.TMJ: across face or cheek, first have pain or aching more than 6 months ago",1.0
P01TMJF30D,"SV:Q46bi.TMJ: across face or cheek, how many days had pain or aching, past 30 days",1.0
P01TMJF30A,"SV:Q46biii.TMJ: across face or cheek, how many days pain or aching keep from doing usual activities (e.g., work, school...), past 30 days",1.0
V00SF1,"SAQ:Q10.SF-12: in general, how is health",1.0
V00SF2,"SAQ:Q11a.SF-12: how much health limit involvement in moderate activities (e.g., moving a table, pushing vacuum cleaner…)",1.0
V00SF3,SAQ:Q11b.SF-12: how much health limit climbing several flights of stairs,1.0
V00SF4,"SAQ:Q12a.SF-12: how often physical health result in accomplishing less than would like with work or other activities, past 4 weeks",1.0
V00SF5,"SAQ:Q12b.SF-12: how often physical health result in being limited in kind of work or other activities, past 4 weeks",1.0
V00SF6,"SAQ:Q13a.SF-12: how often emotional problems result in accomplishing less than would like with work or other activities, past 4 weeks",1.0
V00SF7,"SAQ:Q13b.SF-12: how often emotional problems result in not doing work or activities as carefully as usual, past 4 weeks",1.0
V00SF8,"SAQ:Q14.SF-12: how much did pain interfere with normal work (include work outside home and housework), past 4 weeks",1.0
V00SF9,"SAQ:Q15a.SF-12: how often felt calm and peaceful, past 4 weeks",1.0
V00SF10,"SAQ:Q15b.SF-12: how often had a lot of energy, past 4 weeks",1.0
V00SF11,"SAQ:Q15c.SF-12: how often felt downhearted and depressed, past 4 weeks",1.0
V00SF12,"SAQ:Q16.SF-12: how often physical health or emotional problems interfered with social activities (like visiting with friends...), past 4 weeks",1.0
V00WPRKN1,"EV:Right knee pain: walking, last 7 days",1.0
V00WPRKN2,"EV:Right knee pain: stairs, last 7 days",1.0
V00WPRKN3,"EV:Right knee pain: in bed, last 7 days",1.0
V00WPRKN4,"EV:Right knee pain: sit or lie down, last 7 days",1.0
V00WPRKN5,"EV:Right knee pain: standing, last 7 days",1.0
V00KPRKN1,"EV:Q2a.Right knee pain: twisting/pivoting on knee, last 7 days",1.0
V00KPRKN2,"EV:Q2b.Right knee pain: straightening knee fully, last 7 days",1.0
V00KPRKN3,"EV:Q2c.Right knee pain: bending knee fully, last 7 days",1.0
V00P7RKFR,EV:Q3.Right knee pain: how often,1.0
V00WSRKN1,"EV:Right knee stiffness: in morning, last 7 days",1.0
V00WSRKN2,"EV:Right knee stiffness: later in day, last 7 days",1.0
V00KSXRKN1,"EV:Q6.Right knee symptoms: swelling, last 7 days",1.0
V00KSXRKN2,"EV:Q7.Right knee symptoms: feel grinding, hear clicking or any other type of noise when knee moves, last 7 days",1.0
V00KSXRKN3,"EV:Q8.Right knee symptoms: knee catch or hang up when moving, last 7 days",1.0
V00KSXRKN4,"EV:Q9.Right knee symptoms: straighten knee fully, last 7 days",1.0
V00KSXRKN5,"EV:Q10.Right knee symptoms: bend knee fully, last 7 days",1.0
V00DIRKN1,"EV:Right knee difficulty: down stairs, last 7 days",1.0
V00DIRKN2,"EV:Right knee difficulty: up stairs, last 7 days",1.0
V00DIRKN3,"EV:Right knee difficulty: stand from sitting, last 7 days",1.0
V00DIRKN4,"EV:Right knee difficulty: standing, last 7 days",1.0
V00DIRKN5,"EV:Right knee difficulty: bending, last 7 days",1.0
V00DIRKN6,"EV:Right knee difficulty: walking, last 7 days",1.0
V00DIRKN7,"EV:Right knee difficulty: in car/out of car, last 7 days",1.0
V00DIRKN8,"EV:Right knee difficulty: shopping, last 7 days",1.0
V00DIRKN9,"EV:Right knee difficulty: socks on, last 7 days",1.0
V00DIRKN10,"EV:Right knee difficulty: get out of bed, last 7 days",1.0
V00DIRKN11,"EV:Right knee difficulty: socks off, last 7 days",1.0
V00DIRKN12,"EV:Right knee difficulty: lying down, last 7 days",1.0
V00DIRKN13,"EV:Right knee difficulty: get in/out of bathtub, last 7 days",1.0
V00DIRKN14,"EV:Right knee difficulty: sitting, last 7 days",1.0
V00DIRKN15,"EV:Right knee difficulty: on/off toilet, last 7 days",1.0
V00DIRKN16,"EV:Right knee difficulty: heavy chores, last 7 days",1.0
V00DIRKN17,"EV:Right knee difficulty: light chores, last 7 days",1.0
V00WPLKN1,"EV:Left knee pain: walking, last 7 days",1.0
V00WPLKN2,"EV:Left knee pain: stairs, last 7 days",1.0
V00WPLKN3,"EV:Left knee pain: in bed, last 7 days",1.0
V00WPLKN4,"EV:Left knee pain: sit or lie down, last 7 days",1.0
V00WPLKN5,"EV:Left knee pain: standing, last 7 days",1.0
V00KPLKN1,"EV:Q13a.Left knee pain: twisting/pivoting on knee, last 7 days",1.0
V00KPLKN2,"EV:Q13b.Left knee pain: straightening knee fully, last 7 days",1.0
V00KPLKN3,"EV:Q13c.Left knee pain: bending knee fully, last 7 days",1.0
V00P7LKFR,EV:Q14.Left knee pain: how often,1.0
V00WSLKN1,"EV:Left knee stiffness: in morning, last 7 days",1.0
V00WSLKN2,"EV:Left knee stiffness: later in day, last 7 days",1.0
V00KSXLKN1,"EV:Q17.Left knee symptoms: swelling, last 7 days",1.0
V00KSXLKN2,"EV:Q18.Left knee symptoms: feel grinding, hear clicking or any other type of noise when knee moves, last 7 days",1.0
V00KSXLKN3,"EV:Q19.Left knee symptoms: knee catch or hang up when moving, last 7 days",1.0
V00KSXLKN4,"EV:Q20.Left knee symptoms: straighten knee fully, last 7 days",1.0
V00KSXLKN5,"EV:Q21.Left knee symptoms: bend knee fully, last 7 days",1.0
V00DILKN1,"EV:Left knee difficulty: down stairs, last 7 days",1.0
V00DILKN2,"EV:Left knee difficulty: up stairs, last 7 days",1.0
V00DILKN3,"EV:Left knee difficulty: stand from sitting, last 7 days",1.0
V00DILKN4,"EV:Left knee difficulty: standing, last 7 days",1.0
V00DILKN5,"EV:Left knee difficulty: bending, last 7 days",1.0
V00DILKN6,"EV:Left knee difficulty: walking, last 7 days",1.0
V00DILKN7,"EV:Left knee difficulty: in car/out of car, last 7 days",1.0
V00DILKN8,"EV:Left knee difficulty: shopping, last 7 days",1.0
V00DILKN9,"EV:Left knee difficulty: socks on, last 7 days",1.0
V00DILKN10,"EV:Left knee difficulty: get out of bed, last 7 days",1.0
V00DILKN11,"EV:Left knee difficulty: socks off, last 7 days",1.0
V00DILKN12,"EV:Left knee difficulty: lying down, last 7 days",1.0
V00DILKN13,"EV:Left knee difficulty: get in/out of bathtub, last 7 days",1.0
V00DILKN14,"EV:Left knee difficulty: sitting, last 7 days",1.0
V00DILKN15,"EV:Left knee difficulty: on/off toilet, last 7 days",1.0
V00DILKN16,"EV:Left knee difficulty: heavy chores, last 7 days",1.0
V00DILKN17,"EV:Left knee difficulty: light chores, last 7 days",1.0
V00KOOSFX1,"EV:Q23a.Either knee difficulty: squatting, last 7 days",1.0
V00KOOSFX2,"EV:Q23b.Either knee difficulty: running, last 7 days",1.0
V00KOOSFX3,"EV:Q23c.Either knee difficulty: jumping, last 7 days",1.0
V00KOOSFX4,"EV:Q23d.Either knee difficulty: twisting/pivoting on injured knee, last 7 days",1.0
V00KOOSFX5,"EV:Q23e.Either knee difficulty: kneeling, last 7 days",1.0
V00KQOL1,EV:Q24.Quality of life: how often aware of problems with knee(s),1.0
V00KQOL2,EV:Q25.Quality of life: modified lifestyle to avoid potentially damaging activities to knee(s),1.0
V00KQOL3,EV:Q26.Quality of life: how much troubled with lack of confidence in knee(s),1.0
V00KQOL4,"EV:Q27.Quality of life: in general, how much difficulty have with knee(s)",1.0
V00KGLRS,"EV:Q28.Considering all ways knee pain and arthritis affect you, how are you doing today? Rated on scale of 0-10",1.0
P02KPNRCV,"IEI:Q9a.Right knee pain, aching or stiffness: more than half the days of a month, past 12 months (calc, used for study eligibility)",1.0
P02KPNLCV,"IEI:Q9b.Left knee pain, aching or stiffness: more than half the days of a month, past 12 months (calc, used for study eligibility)",1.0
P01KPR30CV,"SV:Q16a.Right knee pain, aching or stiffness: more than half the days, past 30 days (calc)",1.0
P01KPL30CV,"SV:Q19a.Left knee pain, aching or stiffness: more than half the days, past 30 days (calc)",1.0
P01KPACTCV,"SV:Either knee, limits or avoids activities due to pain, aching or stiffness, past 30 days (calc)",1.0
P01HPR12CV,"SV:Q38a.Right hip pain, aching or stiffness: more than half the days of a month, past 12 months (calc)",1.0
P01HPL12CV,"SV:Q39a.Left hip pain, aching or stiffness: more than half the days of a month, past 12 months (calc)",1.0
P01BPTOT,"SV:Total days in bed and/or limited activity due to back pain, past 30 days (calc)",1.0
V00HSPSS,SAQ:SF-12: physical summary scale for the MOS 12-item short-form health survey (SF-12) v2 (calc),1.0
V00HSMSS,SAQ:SF-12: mental summary scale for the MOS 12-item short-form health survey (SF-12) v2 (calc),1.0
V00WOMKPR,EV:Right knee: WOMAC Pain Score (calc),1.0
V00KOOSKPR,EV:Right knee: KOOS Pain Score (calc),1.0
V00WOMSTFR,EV:Right knee: WOMAC Stiffness Score (calc),1.0
V00KOOSYMR,EV:Right knee: KOOS Symptoms Score (calc),1.0
V00WOMADLR,EV:Right knee: WOMAC Disability Score (calc),1.0
V00WOMKPL,EV:Left knee: WOMAC Pain Score (calc),1.0
V00KOOSKPL,EV:Left knee: KOOS Pain Score (calc),1.0
V00WOMSTFL,EV:Left knee: WOMAC Stiffness Score (calc),1.0
V00KOOSYML,EV:Left knee: KOOS Symptoms Score (calc),1.0
V00WOMADLL,EV:Left knee: WOMAC Disability Score (calc),1.0
V00KOOSFSR,"EV:KOOS Function, Sports, and Recreational Activities Score (calc)",1.0
V00KOOSQOL,EV:KOOS Quality of Life Score (calc),1.0
P01SXKOA,"SV:Baseline symptomatic knee OA status by person (calc, used for study elig (>0) and in OAI definition of cohort status)",1.0
P01KPR12CV,"SV:Q15a.Right knee pain, aching or stiffness: more than half the days of a month, past 12 months (calc)",1.0
P01KPL12CV,"SV:Q18a.Left knee pain, aching or stiffness: more than half the days of a month, past 12 months (calc)",1.0
P01KPA30CV,"SV:Q20b.Either knee, avoid/reduce pain, aching or stiffness by changing or cutting back on normal activities, past 30 days (calc)",1.0
V00P7RKRCV,"EV:Q3a.Right knee pain: severity, past 7 days, rated on scale of 0-10 (calc)",1.0
V00P7LKRCV,"EV:Q14a.Left knee pain: severity, past 7 days, rated on scale of 0-10 (calc)",1.0
P01PMRKRCV,"SV:Q16b.Right knee pain: severity, past 30 days, rated on scale of 0-10 (calc)",1.0
P01PMLKRCV,"SV:Q19b.Left knee pain: severity, past 30 days, rated on scale of 0-10 (calc)",1.0
P01TJE30CV,"SV:Q45b.TMJ: jaw joint or in front of ear, experienced pain or aching, past 30 days (calc)",1.0
P01TJF30CV,"SV:Q46b.TMJ: across face or cheek, experienced pain or aching, past 30 days (calc)",1.0
P01TJE30WC,"SV:Q45bii.TMJ: jaw joint or in front of ear, how often worried or concerned about pain or aching, past 30 days (calc)",1.0
P01TJF30WC,"SV:Q46bii.TMJ: across face or cheek, how often worried or concerned about pain or aching, past 30 days (calc)",1.0
V00WOMTSL,EV:Left knee: WOMAC Total Score (calc),1.0
V00WOMTSR,EV:Right knee: WOMAC Total Score (calc),1.0
P01RKSX,"SV:Right knee baseline symptom status (combines past 30 days and 12 months, calc, used in OAI definition of symptomatic knee OA)",1.0
P01LKSX,"SV:Left knee baseline symptom status (combines past 30 days and 12 months, calc, used in OAI definition of symptomatic knee OA)",1.0
P01LSXKOA,SV:Left knee baseline symptomatic OA status (calc),1.0
P01RSXKOA,SV:Right knee baseline symptomatic OA status (calc),1.0
P01BPDAYCV,"SV:Q43dii.How many days limit activities due to back pain, past 30 days (calc)",1.0
P01BPBEDCV,"SV:Q43di.How many days stay in bed due to back pain, past 30 days (calc)",1.0
P01BPACTCV,"SV:Q43d.Limit activities due to back pain, past 30 days (calc)",1.0
P01KSX,SV:Frequent knee pain status by person (calc),1.0
P01BL12SXL,"SV:Left knee baseline frequent knee pain status (IEI, SV, both, or neither) (calc)",1.0
